
Loaded 8442 rows (all programs, all sheets).
Compiling with 20 parallel workers.
  [2200/8442] compiled=2188 failed=12 unspecified=111 cost=$102.29
  [2225/8442] compiled=2213 failed=12 unspecified=113 cost=$103.47
  [2250/8442] compiled=2237 failed=13 unspecified=113 cost=$104.64
  [checkpoint] 2237 real Check objects + applicability written
  [2275/8442] compiled=2261 failed=14 unspecified=113 cost=$105.82
  [2300/8442] compiled=2286 failed=14 unspecified=113 cost=$106.99
  [2325/8442] compiled=2310 failed=15 unspecified=114 cost=$108.15
  [2350/8442] compiled=2335 failed=15 unspecified=115 cost=$109.33
  [2375/8442] compiled=2360 failed=15 unspecified=116 cost=$110.49
  [2400/8442] compiled=2385 failed=15 unspecified=118 cost=$111.65
  [2425/8442] compiled=2410 failed=15 unspecified=119 cost=$112.82
  [2450/8442] compiled=2435 failed=15 unspecified=121 cost=$113.97
  [2475/8442] compiled=2460 failed=15 unspecified=122 cost=$115.12
  [2500/8442] compiled=2485 failed=15 unspecified=124 cost=$116.30
  [checkpoint] 2485 real Check objects + applicability written
  [2525/8442] compiled=2510 failed=15 unspecified=125 cost=$117.46
  [2550/8442] compiled=2535 failed=15 unspecified=126 cost=$118.61
  [2575/8442] compiled=2560 failed=15 unspecified=126 cost=$119.80
  [2600/8442] compiled=2585 failed=15 unspecified=127 cost=$120.99
  [2625/8442] compiled=2610 failed=15 unspecified=128 cost=$122.17
  [2650/8442] compiled=2635 failed=15 unspecified=130 cost=$123.34
  [2675/8442] compiled=2660 failed=15 unspecified=134 cost=$124.51
  [2700/8442] compiled=2685 failed=15 unspecified=135 cost=$125.68
  [2725/8442] compiled=2709 failed=16 unspecified=136 cost=$126.85
  [2750/8442] compiled=2734 failed=16 unspecified=138 cost=$128.01
  [checkpoint] 2734 real Check objects + applicability written
  [2775/8442] compiled=2759 failed=16 unspecified=139 cost=$129.19
  [2800/8442] compiled=2784 failed=16 unspecified=139 cost=$130.35
  [2825/8442] compiled=2809 failed=16 unspecified=140 cost=$131.51
  [2850/8442] compiled=2834 failed=16 unspecified=141 cost=$132.68
  [2875/8442] compiled=2858 failed=17 unspecified=142 cost=$133.86
  [2900/8442] compiled=2883 failed=17 unspecified=144 cost=$135.02
  [2925/8442] compiled=2908 failed=17 unspecified=144 cost=$136.19
  [2950/8442] compiled=2933 failed=17 unspecified=145 cost=$137.36
  [2975/8442] compiled=2958 failed=17 unspecified=145 cost=$138.53
  [3000/8442] compiled=2983 failed=17 unspecified=146 cost=$139.71
  [checkpoint] 2983 real Check objects + applicability written
  [3025/8442] compiled=3008 failed=17 unspecified=147 cost=$140.87
  [3050/8442] compiled=3033 failed=17 unspecified=147 cost=$142.04
  [3075/8442] compiled=3058 failed=17 unspecified=147 cost=$143.20
  [3100/8442] compiled=3083 failed=17 unspecified=148 cost=$144.36
  [3125/8442] compiled=3108 failed=17 unspecified=149 cost=$145.52
  [3150/8442] compiled=3133 failed=17 unspecified=150 cost=$146.68
  [3175/8442] compiled=3158 failed=17 unspecified=151 cost=$147.83
  [3200/8442] compiled=3183 failed=17 unspecified=151 cost=$148.99
  [3225/8442] compiled=3207 failed=18 unspecified=151 cost=$150.15
  [3250/8442] compiled=3232 failed=18 unspecified=156 cost=$151.32
  [checkpoint] 3232 real Check objects + applicability written
  [3275/8442] compiled=3257 failed=18 unspecified=158 cost=$152.48
  [3300/8442] compiled=3282 failed=18 unspecified=159 cost=$153.63
  [3325/8442] compiled=3307 failed=18 unspecified=159 cost=$154.80
  [3350/8442] compiled=3332 failed=18 unspecified=159 cost=$155.96
  [3375/8442] compiled=3357 failed=18 unspecified=159 cost=$157.11
  [3400/8442] compiled=3382 failed=18 unspecified=159 cost=$158.27
  [3425/8442] compiled=3407 failed=18 unspecified=159 cost=$159.43
  [3450/8442] compiled=3431 failed=19 unspecified=161 cost=$160.58
  [3475/8442] compiled=3455 failed=20 unspecified=163 cost=$161.75
  [3500/8442] compiled=3480 failed=20 unspecified=168 cost=$162.94
  [checkpoint] 3480 real Check objects + applicability written
  [3525/8442] compiled=3503 failed=22 unspecified=172 cost=$164.12
  [3550/8442] compiled=3528 failed=22 unspecified=175 cost=$165.30
  [3575/8442] compiled=3552 failed=23 unspecified=176 cost=$166.46
  [3600/8442] compiled=3577 failed=23 unspecified=181 cost=$167.64
  [3625/8442] compiled=3602 failed=23 unspecified=183 cost=$168.82
  [3650/8442] compiled=3627 failed=23 unspecified=184 cost=$170.00
  [3675/8442] compiled=3652 failed=23 unspecified=187 cost=$171.18
  [3700/8442] compiled=3677 failed=23 unspecified=188 cost=$172.36
  [3725/8442] compiled=3702 failed=23 unspecified=190 cost=$173.54
  [3750/8442] compiled=3727 failed=23 unspecified=194 cost=$174.72
  [checkpoint] 3727 real Check objects + applicability written
  [3775/8442] compiled=3752 failed=23 unspecified=195 cost=$175.90
  [3800/8442] compiled=3777 failed=23 unspecified=197 cost=$177.08
  [3825/8442] compiled=3802 failed=23 unspecified=198 cost=$178.25
  [3850/8442] compiled=3827 failed=23 unspecified=200 cost=$179.42
  [3875/8442] compiled=3852 failed=23 unspecified=202 cost=$180.59
  [3900/8442] compiled=3877 failed=23 unspecified=203 cost=$181.78
  [3925/8442] compiled=3902 failed=23 unspecified=205 cost=$182.96
  [3950/8442] compiled=3927 failed=23 unspecified=207 cost=$184.14
  [3975/8442] compiled=3952 failed=23 unspecified=209 cost=$185.32
  [4000/8442] compiled=3977 failed=23 unspecified=211 cost=$186.49
  [checkpoint] 3977 real Check objects + applicability written
  [4025/8442] compiled=4002 failed=23 unspecified=211 cost=$187.67
  [4050/8442] compiled=4027 failed=23 unspecified=213 cost=$188.87
  [4075/8442] compiled=4052 failed=23 unspecified=213 cost=$190.04
  [4100/8442] compiled=4077 failed=23 unspecified=214 cost=$191.22
  [4125/8442] compiled=4102 failed=23 unspecified=216 cost=$192.39
  [4150/8442] compiled=4127 failed=23 unspecified=216 cost=$193.55
  [4175/8442] compiled=4152 failed=23 unspecified=216 cost=$194.72
  [4200/8442] compiled=4177 failed=23 unspecified=216 cost=$195.88
  [4225/8442] compiled=4202 failed=23 unspecified=216 cost=$197.04
  [4250/8442] compiled=4227 failed=23 unspecified=216 cost=$198.21
  [checkpoint] 4227 real Check objects + applicability written
  [4275/8442] compiled=4252 failed=23 unspecified=216 cost=$199.36
  [4300/8442] compiled=4277 failed=23 unspecified=218 cost=$200.53
  [4325/8442] compiled=4302 failed=23 unspecified=219 cost=$201.68
  [4350/8442] compiled=4326 failed=24 unspecified=219 cost=$202.85
  [4375/8442] compiled=4351 failed=24 unspecified=219 cost=$204.03
  [4400/8442] compiled=4376 failed=24 unspecified=221 cost=$205.19
  [4425/8442] compiled=4401 failed=24 unspecified=221 cost=$206.36
  [4450/8442] compiled=4426 failed=24 unspecified=221 cost=$207.53
  [4475/8442] compiled=4451 failed=24 unspecified=221 cost=$208.69
  [4500/8442] compiled=4475 failed=25 unspecified=221 cost=$209.86
  [checkpoint] 4475 real Check objects + applicability written
  [4525/8442] compiled=4500 failed=25 unspecified=221 cost=$211.03
  [4550/8442] compiled=4525 failed=25 unspecified=221 cost=$212.19
  [4575/8442] compiled=4550 failed=25 unspecified=221 cost=$213.35
  [4600/8442] compiled=4575 failed=25 unspecified=221 cost=$214.52
  [4625/8442] compiled=4600 failed=25 unspecified=221 cost=$215.68
  [4650/8442] compiled=4625 failed=25 unspecified=222 cost=$216.85
  [4675/8442] compiled=4650 failed=25 unspecified=224 cost=$218.02
  [4700/8442] compiled=4675 failed=25 unspecified=226 cost=$219.19
