
Loaded 8442 rows (all programs, all sheets).
Compiling with 20 parallel workers.
  [1900/8442] compiled=1890 failed=10 unspecified=86 cost=$88.26
  [1925/8442] compiled=1915 failed=10 unspecified=88 cost=$89.44
  [1950/8442] compiled=1940 failed=10 unspecified=95 cost=$90.60
  [1975/8442] compiled=1964 failed=11 unspecified=100 cost=$91.77
  [2000/8442] compiled=1989 failed=11 unspecified=102 cost=$92.95
  [checkpoint] 1989 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [2025/8442] compiled=2013 failed=12 unspecified=103 cost=$94.13
  [2050/8442] compiled=2037 failed=13 unspecified=105 cost=$95.31
  [2075/8442] compiled=2062 failed=13 unspecified=107 cost=$96.48
  [2100/8442] compiled=2086 failed=14 unspecified=108 cost=$97.65
  [2125/8442] compiled=2111 failed=14 unspecified=110 cost=$98.81
  [2150/8442] compiled=2136 failed=14 unspecified=110 cost=$99.98
  [2175/8442] compiled=2161 failed=14 unspecified=110 cost=$101.13
  [2200/8442] compiled=2186 failed=14 unspecified=110 cost=$102.29
  [2225/8442] compiled=2211 failed=14 unspecified=112 cost=$103.46
  [2250/8442] compiled=2236 failed=14 unspecified=112 cost=$104.63
  [checkpoint] 2236 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [2275/8442] compiled=2261 failed=14 unspecified=112 cost=$105.82
  [2300/8442] compiled=2286 failed=14 unspecified=112 cost=$106.99
  [2325/8442] compiled=2311 failed=14 unspecified=112 cost=$108.15
  [2350/8442] compiled=2336 failed=14 unspecified=114 cost=$109.32
  [2375/8442] compiled=2361 failed=14 unspecified=115 cost=$110.49
  [2400/8442] compiled=2386 failed=14 unspecified=117 cost=$111.65
  [2425/8442] compiled=2411 failed=14 unspecified=118 cost=$112.80
  [2450/8442] compiled=2436 failed=14 unspecified=120 cost=$113.96
  [2475/8442] compiled=2461 failed=14 unspecified=121 cost=$115.12
  [2500/8442] compiled=2486 failed=14 unspecified=123 cost=$116.28
  [checkpoint] 2486 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [2525/8442] compiled=2511 failed=14 unspecified=124 cost=$117.45
  [2550/8442] compiled=2536 failed=14 unspecified=125 cost=$118.60
  [2575/8442] compiled=2561 failed=14 unspecified=125 cost=$119.79
  [2600/8442] compiled=2586 failed=14 unspecified=125 cost=$120.98
  [2625/8442] compiled=2611 failed=14 unspecified=126 cost=$122.16
  [2650/8442] compiled=2636 failed=14 unspecified=128 cost=$123.33
  [2675/8442] compiled=2661 failed=14 unspecified=132 cost=$124.50
  [2700/8442] compiled=2686 failed=14 unspecified=133 cost=$125.66
  [2725/8442] compiled=2711 failed=14 unspecified=134 cost=$126.83
  [2750/8442] compiled=2736 failed=14 unspecified=136 cost=$128.00
  [checkpoint] 2736 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [2775/8442] compiled=2761 failed=14 unspecified=137 cost=$129.18
  [2800/8442] compiled=2786 failed=14 unspecified=137 cost=$130.34
  [2825/8442] compiled=2811 failed=14 unspecified=139 cost=$131.50
  [2850/8442] compiled=2836 failed=14 unspecified=139 cost=$132.67
  [2875/8442] compiled=2861 failed=14 unspecified=142 cost=$133.84
  [2900/8442] compiled=2886 failed=14 unspecified=143 cost=$135.00
  [2925/8442] compiled=2911 failed=14 unspecified=143 cost=$136.18
  [2950/8442] compiled=2936 failed=14 unspecified=144 cost=$137.35
  [2975/8442] compiled=2961 failed=14 unspecified=144 cost=$138.52
  [3000/8442] compiled=2986 failed=14 unspecified=145 cost=$139.69
  [checkpoint] 2986 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [3025/8442] compiled=3011 failed=14 unspecified=146 cost=$140.86
  [3050/8442] compiled=3036 failed=14 unspecified=146 cost=$142.02
  [3075/8442] compiled=3061 failed=14 unspecified=146 cost=$143.18
  [3100/8442] compiled=3086 failed=14 unspecified=147 cost=$144.34
  [3125/8442] compiled=3111 failed=14 unspecified=148 cost=$145.50
  [3150/8442] compiled=3136 failed=14 unspecified=149 cost=$146.66
  [3175/8442] compiled=3161 failed=14 unspecified=150 cost=$147.81
  [3200/8442] compiled=3186 failed=14 unspecified=150 cost=$148.98
  [3225/8442] compiled=3210 failed=15 unspecified=150 cost=$150.14
  [3250/8442] compiled=3235 failed=15 unspecified=154 cost=$151.31
  [checkpoint] 3235 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [3275/8442] compiled=3260 failed=15 unspecified=157 cost=$152.47
  [3300/8442] compiled=3285 failed=15 unspecified=157 cost=$153.63
  [3325/8442] compiled=3310 failed=15 unspecified=157 cost=$154.79
  [3350/8442] compiled=3335 failed=15 unspecified=157 cost=$155.95
  [3375/8442] compiled=3360 failed=15 unspecified=157 cost=$157.10
  [3400/8442] compiled=3385 failed=15 unspecified=157 cost=$158.27
  [3425/8442] compiled=3410 failed=15 unspecified=157 cost=$159.42
  [3450/8442] compiled=3434 failed=16 unspecified=158 cost=$160.57
  [3475/8442] compiled=3458 failed=17 unspecified=161 cost=$161.74
  [3500/8442] compiled=3483 failed=17 unspecified=166 cost=$162.94
  [checkpoint] 3483 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [3525/8442] compiled=3508 failed=17 unspecified=170 cost=$164.12
  [3550/8442] compiled=3532 failed=18 unspecified=173 cost=$165.29
  [3575/8442] compiled=3557 failed=18 unspecified=174 cost=$166.46
  [3600/8442] compiled=3582 failed=18 unspecified=179 cost=$167.64
  [3625/8442] compiled=3607 failed=18 unspecified=181 cost=$168.81
  [3650/8442] compiled=3631 failed=19 unspecified=182 cost=$170.00
  [3675/8442] compiled=3656 failed=19 unspecified=185 cost=$171.17
  [3700/8442] compiled=3681 failed=19 unspecified=186 cost=$172.35
  [3725/8442] compiled=3706 failed=19 unspecified=189 cost=$173.53
  [3750/8442] compiled=3730 failed=20 unspecified=192 cost=$174.70
  [checkpoint] 3730 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [3775/8442] compiled=3755 failed=20 unspecified=193 cost=$175.88
  [3800/8442] compiled=3780 failed=20 unspecified=195 cost=$177.06
  [3825/8442] compiled=3805 failed=20 unspecified=196 cost=$178.23
  [3850/8442] compiled=3829 failed=21 unspecified=198 cost=$179.41
  [3875/8442] compiled=3854 failed=21 unspecified=199 cost=$180.58
  [3900/8442] compiled=3879 failed=21 unspecified=201 cost=$181.77
  [3925/8442] compiled=3904 failed=21 unspecified=203 cost=$182.96
  [3950/8442] compiled=3929 failed=21 unspecified=205 cost=$184.13
  [3975/8442] compiled=3954 failed=21 unspecified=205 cost=$185.30
  [4000/8442] compiled=3978 failed=22 unspecified=208 cost=$186.48
  [checkpoint] 3978 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [4025/8442] compiled=4003 failed=22 unspecified=211 cost=$187.66
  [4050/8442] compiled=4028 failed=22 unspecified=211 cost=$188.85
  [4075/8442] compiled=4053 failed=22 unspecified=212 cost=$190.04
  [4100/8442] compiled=4078 failed=22 unspecified=213 cost=$191.21
  [4125/8442] compiled=4103 failed=22 unspecified=215 cost=$192.38
  [4150/8442] compiled=4128 failed=22 unspecified=215 cost=$193.54
  [4175/8442] compiled=4153 failed=22 unspecified=215 cost=$194.70
  [4200/8442] compiled=4178 failed=22 unspecified=215 cost=$195.86
  [4225/8442] compiled=4203 failed=22 unspecified=215 cost=$197.02
  [4250/8442] compiled=4228 failed=22 unspecified=215 cost=$198.20
  [checkpoint] 4228 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [4275/8442] compiled=4253 failed=22 unspecified=215 cost=$199.35
  [4300/8442] compiled=4278 failed=22 unspecified=217 cost=$200.51
  [4325/8442] compiled=4303 failed=22 unspecified=218 cost=$201.67
  [4350/8442] compiled=4328 failed=22 unspecified=218 cost=$202.84
  [4375/8442] compiled=4353 failed=22 unspecified=219 cost=$204.01
  [4400/8442] compiled=4378 failed=22 unspecified=220 cost=$205.19
  [4425/8442] compiled=4403 failed=22 unspecified=220 cost=$206.35
  [4450/8442] compiled=4428 failed=22 unspecified=220 cost=$207.52
  [4475/8442] compiled=4453 failed=22 unspecified=220 cost=$208.68
  [4500/8442] compiled=4477 failed=23 unspecified=220 cost=$209.85
  [checkpoint] 4477 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [4525/8442] compiled=4502 failed=23 unspecified=220 cost=$211.02
  [4550/8442] compiled=4527 failed=23 unspecified=220 cost=$212.19
  [4575/8442] compiled=4552 failed=23 unspecified=220 cost=$213.35
  [4600/8442] compiled=4577 failed=23 unspecified=220 cost=$214.51
  [4625/8442] compiled=4601 failed=24 unspecified=221 cost=$215.68
  [4650/8442] compiled=4626 failed=24 unspecified=221 cost=$216.85
  [4675/8442] compiled=4651 failed=24 unspecified=222 cost=$218.02
  [4700/8442] compiled=4676 failed=24 unspecified=228 cost=$219.19
  [4725/8442] compiled=4701 failed=24 unspecified=230 cost=$220.35
  [4750/8442] compiled=4726 failed=24 unspecified=233 cost=$221.51
  [checkpoint] 4726 real Check objects written to /Users/gordonchan/Workspace/demo-sites/mortgage-qc-prod/p0/compile_runs/run_008_comprehensive_8442/ruleset_checkpoint.json
  [4775/8442] compiled=4751 failed=24 unspecified=237 cost=$222.68
  [4800/8442] compiled=4776 failed=24 unspecified=238 cost=$223.84
  [4825/8442] compiled=4801 failed=24 unspecified=239 cost=$225.02
